1,'Говядина',189.,124.,0.,3150,90,600,1.5,28.,0
2,'Судак',190.,80.,0.,1870,270,0,1.1,10.,30
3,'Масло',60.,825.,90.,230,220,740,0.1,1.,0
4,'Майонез',31.,670.,26.,480,280,0,0.,0.,0
5,'Яйца',127.,115.,7.,1530,550,710,4.4,1.9,0
6,'Сметана',26.,300.,28.,950,850,320,1.,1.,2
7,'Молоко',28.,32.,47.,1460,1210,1500,1.3,1.,10
8,'Творог',167.,90.,13.,1120,1640,1410,2.7,4.,5
9,'Морковь',13.,1.,70.,2000,510,210,0.7,9.9,50
10,'Лук',17.,0.,95.,1750,310,180,0.2,2.,100
11,'Помидоры',6.,0.,42.,290,140,400,0.4,5.3,250
12,'Зелень',9.,0.,20.,340,275,75,1.2,4.,380
13,'Рис',70.,6.,773.,540,240,260,0.4,16.,0
14,'Мука',106.,13.,732.,1760,240,120,1.2,22.,0
15,'Яблоки',4.,0.,113.,2480,160,260,0.3,3.,130
16,'Сахар',0.,0.,998.,30,20,10,0.,0.,0
17,'Кофе',127.,36.,9.,9710,180,180,0.3,1.8,0
