1,'Помидоры ...'
2,'Вареное ...'
3,'Зелень ме...'
4,'Вареные р...'
5,'Филе суда...'
6,'Мясо варе...'
7,'Сметану п...'
8,'Протертый ..'
9,'Грудинку ...'
10,'Филе суда...'
11,'Судак очи...'
12,'Промытый ...'
13,'Мясо наре...'
14,'Говядину ...'
15,'Подготовл...'
16,'Сырые яйц...'
17,'Нарезать ...'
18,'В протерт...'
19,'К свежим ...'
20,'Рис свари...'
21,'Готовую р...'
22,'В протерт...'
23,'Спассеров...'
24,'В протерт...'
25,'Очистить ...'
26,'Не прорез...'
27,'Запеченны...'
28,'Яйца разм...'
29,'Очищенную ..'
30,'Яблоки оч...'
31,'Яблоки на...'
32,'Кофеварку ..'
33,'Сварить ч...'
